"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"19","Reelease","A69-1303-347","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 21:28:49,72
"20","Reelease","A69-1303-347","Releasesite4","VR2W-102835","55.40425","12.304317",2020-11-30 22:39:14,2020-12-01 00:16:49,5
"21","Reelease","A69-1303-347","Releasesite4","VR2W-102835","55.40425","12.304317",2020-12-01 01:30:12,2020-12-01 01:30:12,1
"22","Reelease","A69-1303-348","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-12-01 15:50:45,1037
"23","Reelease","A69-1303-349","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 21:13:37,58
"24","Reelease","A69-1303-349","S4","VR2W-135450","56.04414","12.65641",2020-12-23 23:34:49,2020-12-23 23:51:36,19
"25","Reelease","A69-1303-350","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 20:10:46,37
"26","Reelease","A69-1303-351","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-12-01 06:48:05,428
"27","Reelease","A69-1303-351","Johnring","000344","55.403733","12.29945",2020-12-02 03:01:27,2020-12-02 03:44:50,23
"28","Reelease","A69-1303-351","Releasesite3","VR2W-102653","55.40695","12.3004",2020-12-02 06:59:30,2020-12-02 07:33:05,5
"29","Reelease","A69-1303-351","S4","VR2W-135450","56.04414","12.65641",2021-02-08 11:44:47,2021-02-08 11:47:16,4
"30","Reelease","A69-1303-352","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-12-02 00:57:51,2520
"31","Reelease","A69-1303-352","Johnring","000344","55.403733","12.29945",2020-12-02 03:13:18,2020-12-04 13:31:08,3438
"32","Reelease","A69-1303-352","Johnring","000344","55.403733","12.29945",2020-12-04 23:04:06,2020-12-04 23:04:06,1
"33","Reelease","A69-1303-352","Johnring","000344","55.403733","12.29945",2020-12-05 00:12:30,2020-12-05 01:05:22,2
"34","Reelease","A69-1303-353","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-12-01 04:02:16,312
"35","Reelease","A69-1303-354","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 17:59:00,1
"36","Reelease","A69-1303-354","Johnring","000410","55.403733","12.29945",2020-11-30 19:19:48,2020-11-30 19:21:49,3
"37","Reelease","A69-1303-354","Releasesite3","VR2W-102653","55.40695","12.3004",2020-12-01 16:33:52,2020-12-01 16:40:47,5
"38","Reelease","A69-1303-354","Sound2.5","VR2AR-549001","56.04847","12.62524",2021-02-16 03:39:30,2021-02-16 03:55:21,16
"39","Reelease","A69-1303-354","Sound6","VR2W-103417","56.05462","12.6503",2021-02-16 12:01:15,2021-02-16 12:03:43,2
"40","Reelease","A69-1303-354","Sound4","VR2W-133219","56.0587","12.63245",2021-02-16 14:33:01,2021-02-16 15:12:40,21
"41","Reelease","A69-1303-355","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 17:59:00,1
"42","Reelease","A69-1303-355","Johnring","000410","55.403733","12.29945",2020-11-30 19:17:41,2020-12-01 01:16:54,314
"43","Reelease","A69-1303-356","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 21:12:31,46
"44","Reelease","A69-1303-356","Releasesite2","VR2W-102670","55.407583","12.295033",2020-12-04 17:00:01,2020-12-04 17:23:39,6
"45","Reelease","A69-1303-357","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 19:36:14,7
"46","Reelease","A69-1303-357","Releasesite4","VR2W-102835","55.40425","12.304317",2020-11-30 21:51:11,2020-12-01 01:04:01,45
"47","Reelease","A69-1303-358","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 19:16:42,4
"48","Reelease","A69-1303-358","Releasesite4","VR2W-102835","55.40425","12.304317",2020-12-01 02:37:42,2020-12-01 02:37:42,1
"49","Reelease","A69-1303-358","Releasesite3","VR2W-102653","55.40695","12.3004",2020-12-01 17:09:27,2020-12-01 17:19:20,7
"50","Reelease","A69-1303-359","Johnring","none","55.403733","12.29945",2020-11-30 17:59:00,2020-11-30 17:59:00,1
